"","X","FlightNumber","Temperature","Pressure","Fail","nFailures","Damage"
"1",1,"1",18.8888888888889,50,"no",0,0
"2",2,"2",21.1111111111111,50,"yes",1,4
"3",3,"3",20.5555555555556,50,"no",0,0
"4",4,"4",26.6666666666667,50,NA,NA,NA
"5",5,"5",20,50,"no",0,0
"6",6,"6",19.4444444444444,50,"no",0,0
"7",7,"7",22.2222222222222,50,"no",0,0
"8",8,"8",22.7777777777778,50,"no",0,0
"9",9,"9",21.1111111111111,100,"no",0,0
"10",10,"41B",13.8888888888889,100,"yes",1,4
"11",11,"41C",17.2222222222222,200,"yes",1,2
"12",12,"41D",21.1111111111111,200,"yes",1,4
"13",13,"41G",25.5555555555556,200,"no",0,0
"14",14,"51A",19.4444444444444,200,"no",0,0
"15",15,"51C",11.6666666666667,200,"yes",2,11
"16",16,"51D",19.4444444444444,200,"no",0,0
"17",17,"51B",23.8888888888889,200,"no",0,0
"18",18,"51G",21.1111111111111,200,"no",0,0
"19",19,"51F",27.2222222222222,200,"no",0,0
"20",20,"51I",24.4444444444444,200,"no",0,0
"21",21,"51J",26.1111111111111,200,"no",0,0
"22",22,"61A",23.8888888888889,200,"yes",2,4
"23",23,"61C",14.4444444444444,200,"yes",1,4
"24",24,"61I",24.4444444444444,200,"no",0,4
"25",25,"SRM25",-2.25,NA,"yes",NA,12
